PPX-620,Aire acondicionado tipo split,5
ISU-815,Audifonos,0.5
ARS-231,Audifonos Stereos,0.6
UWA-476,Autoradio MEX BT3150U,0.7
UTN-601,Autoradio XAV-601 BT,0.8
QFP-254,Calentador electrico instantaneo,1.5
QRC-609,Camara de video EOS,1
ISB-205,Camara fotografica 16MP,0.5
EJW-346,Campana Extractora,10
BIT-434,Campana Extractora modelo Glass,10
III-576,Campana Extractora Venus Plus,10
OTW-288,Cava de Vinos GE cap. 34 botellas,20
XLF-273,Centro de Lavado a Gas,60
BRD-969,Centro de Lavado Electrico,60
BCN-855,Cocina a gas Bahia Can,50
QFR-958,Cocina a gas Bavaro,50
NSR-955,Cocina a gas Blogna,50
FVB-607,Cocina a gas Essenza BL,50
XBD-314,Cocina a gas Fassina,50
UJV-290,Cocina a gas Fassina Plus,50
EVN-510,Cocina a gas FFG3011LB,50
SAM-013,Cocina a gas FFG3047SL,50
DUG-251,Cocina a gas FFG3047SL,50
NSM-283,Cocina a gas FFG3053SL,50
YJD-279,Cocina a gas Florencia,50
EBI-299,Cocina a gas Fridare,50
KDA-627,Cocina a gas Ijasmin,50
MLE-193,Cocina a gas Ingenious,50
LZK-729,Cocina a gas Kristel,50
MYC-756,Cocina a gas Leganza INOX,50
TKM-141,Cocina a gas Marsella,50
LWG-915,Cocina a gas Murano,50
YMU-875,Cocina a gas Plermo Quarzo,50
SNY-500,Cocina a gas Praga Quarzo,50
DFJ-952,Cocina a gas Prestige 60 INOX,50
FVQ-662,Cocina a gas Pro 6300 INOX,50
RAH-420,Cocina a gas Pro 6550 INOX,50
ICX-503,Cocina a gas Roma,50
VCL-867,Cocina a gas Rubi 2,50
AVM-258,Cocina a gas Toscana,50
BZS-261,Cocina a gas Trento,50
WLL-607,Cocina Electronica Convencion,45
ZXK-295,Cocina Empotrable Electrica,45
KQA-580,Cocina Empotrable Glassy Plus,45
BWD-036,Cocina Empotrable Klimatica,45
BXY-119,Cocina Empotrable Klimatica,45
CIM-038,Cocina Empotrable Petra,45
OQI-373,Cocina Empotrable Premio Plus,45
QTK-083,Congeladora Conservador Vertical 476 Lts.,60
MMA-577,Congeladora Horizontal 252 Lts.,60
CNQ-172,Congeladora Horizontal 364 Lts.,60
CNN-411,Congeladora Side by Side,60
XOA-735,Congeladora Vertical 392 Lts.,60
JCW-489,Conservadora Exibidora CMVE-250,60
VDD-853,Deshumedecedor  FAD30D7TSSW 3.4L 25-30m2,2
AWB-345,Deshumedecedor DM-189H,3
YOT-530,Deshumedecedor DM-190H,4
SPR-580,Dispensador de Agua,1
JFC-432,DVD DVM-L79,20
VTV-269,Extractor de aire,20
BTO-226,Friobar,20
AWT-354,Galaxy Gear,1
OTS-581,Galaxy Note 8.0,0.5
UCX-285,Galaxy Tab 3,0.5
DFF-034,Grabadora de voz digital portátil con USB integrado,0.5
KBY-991,Home Theater E4100,2
HFM-021,Horno Electrico,5
VJI-529,Horno Empotrable Electrico,5
QVJ-982,Horno Microondas 0.7 p3,5
JYQ-045,Horno Microondas 1.2 p3,5
RDT-761,Horno Microondas con dorador,5
DIQ-718,Horno Microondas de Conveccion Cello,5
GKG-558,Horno Microondas MS2042D,5
KQQ-136,Impresora Laser EPSON,5
DOV-560,Impresora Laser Mutifuncion Monocromatica,5
ZWF-661,Impresora Led,5
YGV-332,Impresora Led Color,5
MTF-868,Impresora Monocromatica WorkForce M205,5
PJG-338,Impresora Mutifuncional Inalambricar,5
EUZ-452,Impresora Mutifuncional Led Color,5
LYZ-614,Impresore Mutifuncional Expression XP-211,5
IDO-503,Laptop GamerVictus de 15.6,2.5
NMV-644,Lavadora Automatica,40
TMJ-043,Lavadora EcoBubble,40
JDQ-505,Lavadora Modelo Aquamatic,40
OTH-462,Lavadora Semi-Automatica,40
JJN-837,Lavadora Tecnologia Wobbie,40
YEZ-591,Lavadora WA,40
XZR-640,Lavadora-Secadora FWD,40
CRU-009,Lavavajilla,40
QUU-384,Lavavajilla Blue Touch,40
UOD-420,Mini componente ESX6,3
YZD-580,Mini componente ESX8,3
LDR-510,Mini componente ESX9,3
CJE-310,Mini componente GPX33,3
OPT-996,Mini componente GPX88,3
QIL-029,Mini componente Shake-5,3
VXS-438,Mouse Blue Tooth,0.25
OWN-701,Olla arrocera ,1.5
IHG-413,Parlant Y pedestal PAM-83,1.6
OFS-384,Parlantes Bluetooth,1.7
HLR-109,Parlantes inalambricos,1.8
DEV-433,Parlantes portatiles SHOQBOX,2
FLJ-040,Parlantes portatiles SOUNDSHOOTER,1
FYF-898,Proyector a color,2
JDC-028,Puntero Laser,0.25
DEN-125,Rack Fijo 26/32,1
XTE-383,Rack Fijo 32/60,1
PQH-935,Rack Giratorio 26/32,1
VRR-793,Rack Giratorio 32/60,1
EQY-018,Radio AM/FM stereo RMU-51C,1
GBJ-693,Radio CD,1
RSE-049,Radio CD/DVD - TV,1
FLW-631,Radio Reloj Despertador,1
FQG-293,Rapiducha Premiun,1
SJD-818,Refrigeradora  CoolStyle 281A Steel,55
SSE-115,Refrigeradora  CoolStyle 311N Steel,55
YUQ-590,Refrigeradora  CoolStyle 395N Steel,55
ZVA-180,Refrigeradora 322 litros,55
QQB-968,Refrigeradora 484 litros,55
ADX-669,Refrigeradora cap. 220 litros,50
PFD-286,Refrigeradora cap. 415 litros,55
YYK-309,Refrigeradora Door in Door,55
UDR-957,Refrigeradora ECOTT 423 IXL,50
WZD-331,Refrigeradora ECOTT 465 IX,55
HTY-123,Refrigeradora GM-S604ULV,55
SSD-176,Refrigeradora Linea Gallery,55
XSD-310,Refrigeradora No frost,55
GBD-525,Refrigeradora Puertas Mágicas,55
BMJ-772,Refrigeradora Side by Side,55
VZV-827,Refrigeradora Top Mount,50
MQR-442,Reloj Digital RMM-29,1
ONB-903,Reproductor BLU-RAY 3D,1.5
YYU-726,Reproductor DVD Portatil,1.6
AHB-459,Reproductor DVD Portatil TV 7,1.7
SJQ-827,Reproductor Multimedia Touch Screen,1.8
DON-719,Secadora de Cabello SG-3035,1
TMN-884,Secadora de mano,1
OPJ-039,Secadora de Ropa,45
XZG-521,Secadora Electrica FAQE7001LW,1.5
KSO-608,Secadora Modelo Italica,45
FEG-454,Sillon masajeador,50
ZAF-449,Tablet Cardle,1
ZEX-027,Tablet Xperia Z,1.5
BCK-361,Tablets 10.1,0.6
VVS-017,Tablets MW 0731,0.8
AQS-362,Teclado Inalambrico USB,0.5
QJO-060,Televisor LED FULL HD,5
TXM-139,Televisor LED FULL HD 3D,5
OXP-732,Televisor OLED 4K UHD Google TV Smart 77 XR-77A80L LA8,5
FCN-617,Televisor Plasma 60,5
HFC-845,Televisor Serie LED R555A,5
RBE-789,Televisor SMART TV,10
KWP-672,Televisor UHD TV,10
GXF-122,Televisor Ultra HDTV,10
TZY-323,Terma a gas,20
UXG-019,Terma de acumulacion,20
JXD-139,Terma Evolucion Soltu,20
OBI-353,Terma Milenium,20
QHC-492,Terma Solucion,20
PVZ-181,Ventilador circular,5
KCO-488,Ventilador de pared,5
KJX-387,Ventilador de techo,5
CSZ-863,Video Filmadora,2
GLC-370,Video Proyector Power Lite 95,2
TYF-885,Videojuego TW 4,2
AFL-718,Vinera,10
